,base,authors_l,title_l,title,journal_l,keywords_l,year,doi
349,dimensions,"christian ohmann, rita banzi, steve canham, serena battaglia, mihaela matei, christopher ariyo, lauren becnel, barbara bierer, sarion bowers, luca clivio, monica dias, christiane druml, helene faure, martin fenner, jose galvez, davina ghersi, christian gluud, trish groves, paul houston, ghassan karam, dipak kalra, rachel l knowles, karmela krleza-jeric, christine kubiak, wolfgang kuchinke, rebecca kush, ari lukkarinen, pedro silverio marques, andrew newbigging, jennifer o'callaghan, philippe ravaud, irene schlunder, daniel shanahan, helmut sitter, dylan spalding, catrin tudur-smith, peter van reusel, evert-ben van veen, gerben rienk visser, julia wilson, jacques demotes-mainard",sharing and reuse of individual participant data from clinical trials principles and recommendations,Sharing and reuse of individual participant data from clinical trials: principles and recommendations,bmj open,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services, 1199 other medical and health sciences",2017,10.1136/bmjopen-2017-018647
350,dimensions,andrea polonioli,a plea for minimally biased naturalistic philosophy,A plea for minimally biased naturalistic philosophy,synthese,"22 philosophy and religious studies, 2203 philosophy",2019,10.1007/s11229-017-1628-0
351,dimensions,"jonathan p. tennant, jonathan m. dugan, daniel graziotin, damien c. jacques, francois waldner, daniel mietchen, yehia elkhatib, lauren b. collister, christina k. pikas, tom crick, paola masuzzo, anthony caravaggi, devin r. berg, kyle e. niemeyer, tony ross-hellauer, sara mannheimer, lillian rigling, daniel s. katz, bastian greshake tzovaras, josmel pacheco-mendoza, nazeefa fatima, marta poblet, marios isaakidis, dasapta erwin irawan, sebastien renaut, christopher r. madan, lisa matthias, jesper norgaard kjaer, daniel paul o'donnell, cameron neylon, sarah kearns, manojkumar selvaraju, julien colomb",a multi disciplinary perspective on emergent and future innovations in peer review,A multi-disciplinary perspective on emergent and future innovations in peer review,f1000research,"08 information and computing sciences, 0806 information systems",2017,10.12688/f1000research.12037.3
352,dimensions,"marlene agerstrand, mattheus brenig, martin fuhr, julian schenten",refining tools to bridge the gap between academia and chemical regulation perspectives for wikireach,Refining tools to bridge the gap between academia and chemical regulation: perspectives for WikiREACH,environmental science processes impacts,"03 chemical sciences, 05 environmental sciences, 11 medical and health sciences",2017,10.1039/c7em00422b
353,dimensions,"vivek kalia, daniel a. ortiz, amy k. patel, andrew k. moriarity, cheri l. canon, richard duszak",leveraging twitter to maximize the radiology meeting experience,Leveraging Twitter to Maximize the Radiology Meeting Experience,journal of the american college of radiology,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services",2018,10.1016/j.jacr.2017.10.022
354,dimensions,elizabeth j. marsh,family matters measuring impact through ones academic descendants,Family Matters: Measuring Impact Through One’s Academic Descendants,perspectives on psychological science,"17 psychology and cognitive sciences, 1701 psychology, 1702 cognitive sciences",2017,10.1177/1745691617719759
355,dimensions,"romana haneef, amelie yavchitz, philippe ravaud, gabriel baron, ivan oranksy, gary schwitzer, isabelle boutron",interpretation of health news items reported with or without spin protocol for a prospective meta analysis of 16 randomised controlled trials,Interpretation of health news items reported with or without spin: protocol for a prospective meta-analysis of 16 randomised controlled trials,bmj open,"11 medical and health sciences, 1117 public health and health services",2017,10.1136/bmjopen-2017-017425
356,dimensions,"teresa m. chan, david stukus, jimmie leppink, lina duque, blair l. bigham, neil mehta, brent thoma",social media and the 21st century scholar how you can harness social media to amplify your career,Social Media and the 21st-Century Scholar: How You Can Harness Social Media to Amplify Your Career,journal of the american college of radiology,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services",2018,10.1016/j.jacr.2017.09.025
357,dimensions,duane knudson,citation metrics of excellence in sports biomechanics research,Citation metrics of excellence in sports biomechanics research,sports biomechanics,"11 medical and health sciences, 1106 human movement and sports science",2019,10.1080/14763141.2017.1391328
358,dimensions,"emer r mcgrath, alexa s beiser, charles decarli, kendra l plourde, ramachandran s vasan, steven m greenberg, sudha seshadri",blood pressure from mid to late life and risk of incident dementia,Blood pressure from mid‐ to late life and risk of incident dementia,neurology,"11 medical and health sciences, 1117 public health and health services",2017,10.1212/wnl.0000000000004741
359,dimensions,"daniel cabrera, durga roy, margaret s. chisolm",social media scholarship and alternative metrics for academic promotion andtenure,Social Media Scholarship and Alternative Metrics for Academic Promotion and Tenure,journal of the american college of radiology,"11 medical and health sciences, 1117 public health and health services",2018,10.1016/j.jacr.2017.09.012
360,dimensions,n. seth trueger,medical journals in the age of ubiquitous social media,Medical Journals in the Age of Ubiquitous Social Media,journal of the american college of radiology,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services",2018,10.1016/j.jacr.2017.09.036
361,dimensions,"n. seth trueger, andrew v. bokarius, stephen carroll, michael d. april, brent thoma",impact of a physician led social media sharing program on a medical journals web traffic,Impact of a Physician-Led Social Media Sharing Program on a Medical Journal’s Web Traffic,journal of the american college of radiology,"11 medical and health sciences, 1117 public health and health services",2018,10.1016/j.jacr.2017.09.035
362,dimensions,"melissa k sharp, romana haneef, philippe ravaud, isabelle boutron",dissemination of 2014 dual antiplatelet therapy dapt trial results a systematic review of scholarly and media attention over 7 months,Dissemination of 2014 dual antiplatelet therapy (DAPT) trial results: a systematic review of scholarly and media attention over 7 months,bmj open,"11 medical and health sciences, 1117 public health and health services",2017,10.1136/bmjopen-2016-014503
363,dimensions,"tom finch, nina o'hanlon, steve p. dudley",tweeting birds online mentions predict future citations in ornithology,Tweeting birds: online mentions predict future citations in ornithology,royal society open science,"17 psychology and cognitive sciences, 1701 psychology",2017,10.1098/rsos.171371
364,dimensions,"andrew b. rosenkrantz, ujas parikh, richard duszak",citation impact of collaboration inradiology research,Citation Impact of Collaboration in Radiology Research,journal of the american college of radiology,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services",2018,10.1016/j.jacr.2017.09.030
365,dimensions,"david stanley, karen stanley",clinical leadership and nursing explored a literature search,Clinical leadership and nursing explored: A literature search,journal of clinical nursing,"11 medical and health sciences, 1110 nursing, 1117 public health and health services, 17 psychology and cognitive sciences, 1701 psychology",2018,10.1111/jocn.14145
366,dimensions,"stephane boyer, takayoshi ikeda, marie-caroline lefort, jagoba malumbres-olarte, jason m. schmidt",percentage based author contribution index a universal measure of author contribution to scientific articles,Percentage-based Author Contribution Index: a universal measure of author contribution to scientific articles,research integrity and peer review,"17 psychology and cognitive sciences, 1701 psychology",2017,10.1186/s41073-017-0042-y
367,dimensions,"jeffrey m gelfand, michael j bradshaw, barney j stern, david b clifford, yunxia wang, tracey a cho, laura l koth, stephen l hauser, jason dierkhising, ngochanh vu, subramaniam sriram, harold moses, francesca bagnato, jeffrey a kaufmann, deidre j ammah, tsion h yohannes, mark j hamblin, nagagopal venna, ari j green, siddharama pawate",infliximab for the treatment of cns sarcoidosis,Infliximab for the treatment of CNS sarcoidosis,neurology,"11 medical and health sciences, 1103 clinical sciences",2017,10.1212/wnl.0000000000004644
368,dimensions,"seth d friedman, andrew v poliakov, christopher budech, dennis w w shaw, david breiger, thomas jinguji, brian krabak, david coppel, tressa mattioli lewis, samuel browd, jeffrey g ojemann",gaba alterations in pediatric sport concussion,GABA alterations in pediatric sport concussion,neurology,"11 medical and health sciences, 1109 neurosciences",2017,10.1212/wnl.0000000000004666
369,dimensions,enver zerem,the ranking of scientists based on scientific publications assessment,The ranking of scientists based on scientific publications assessment,journal of biomedical informatics,"06 biological sciences, 08 information and computing sciences, 11 medical and health sciences",2017,10.1016/j.jbi.2017.10.007
370,dimensions,"ines m. fernandez-guerrero, francisco j. martin-sanchez, guillermo burillo-putze, collin a. graham, oscar miro",analysis of the citation of articles published in the european journal of emergency medicine since its foundation,Analysis of the citation of articles published in the European Journal of Emergency Medicine since its foundation,european journal of emergency medicine,"11 medical and health sciences, 1103 clinical sciences",2019,10.1097/mej.0000000000000502
